Chevrolet Chevelle Malibu,130,3504,12,70,USA
Buick Skylark 320,165,3693,11.5,70,USA
Plymouth Satellite,150,3436,11,70,USA
Amc Rebel Sst,150,3433,12,70,USA
Ford Torino,140,3449,10.5,70,USA
Ford Galaxie 500,198,4341,10,70,USA
Chevrolet Impala,220,4354,9,70,USA
Plymouth Fury Iii,215,4312,8.5,70,USA
Pontiac Catalina,225,4425,10,70,USA
Amc Ambassador Dpl,190,3850,8.5,70,USA
Dodge Challenger Se,170,3563,10,70,USA
Plymouth 'Cuda 340,160,3609,8,70,USA
Chevrolet Monte Carlo,150,3761,9.5,70,USA
Buick Estate Wagon (Sw),225,3086,10,70,USA
Toyota Corona Mark Ii,95,2372,15,70,Japan
Plymouth Duster,95,2833,15.5,70,USA
Amc Hornet,97,2774,15.5,70,USA
Ford Maverick,85,2587,16,70,USA
Datsun Pl510,88,2130,14.5,70,Japan
Volkswagen 1131 Deluxe Sedan,46,1835,20.5,70,Europe
Peugeot 504,87,2672,17.5,70,Europe
Audi 100 Ls,90,2430,14.5,70,Europe
Saab 99e,95,2375,17.5,70,Europe
Bmw 2002,113,2234,12.5,70,Europe
Amc Gremlin,90,2648,15,70,USA
Ford F250,215,4615,14,70,USA
Chevy C20,200,4376,15,70,USA
Dodge D200,210,4382,13.5,70,USA
Hi 1200d,193,4732,18.5,70,USA
Datsun Pl510,88,2130,14.5,71,Japan
Chevrolet Vega 2300,90,2264,15.5,71,USA
Toyota Corona,95,2228,14,71,Japan
Ford Pinto,,2046,19,71,USA
Amc Gremlin,100,2634,13,71,USA
Plymouth Satellite Custom,105,3439,15.5,71,USA
Chevrolet Chevelle Malibu,100,3329,15.5,71,USA
Ford Torino 500,88,3302,15.5,71,USA
Amc Matador,100,3288,15.5,71,USA
Chevrolet Impala,165,4209,12,71,USA
Pontiac Catalina Brougham,175,4464,11.5,71,USA
Ford Galaxie 500,153,4154,13.5,71,USA
Plymouth Fury Iii,150,4096,13,71,USA
Dodge Monaco (Sw),180,4955,11.5,71,USA
Ford Country Squire (Sw),170,4746,12,71,USA
Pontiac Safari (Sw),175,5140,12,71,USA
Amc Hornet Sportabout (Sw),110,2962,13.5,71,USA
Chevrolet Vega (Sw),72,2408,19,71,USA
Pontiac Firebird,100,3282,15,71,USA
Ford Mustang,88,3139,14.5,71,USA
Mercury Capri 2000,86,2220,14,71,USA
Opel 1900,90,2123,14,71,Europe
Peugeot 304,70,2074,19.5,71,Europe
Fiat 124b,76,2065,14.5,71,Europe
Toyota Corolla 1200,65,1773,19,71,Japan
Datsun 1200,69,1613,18,71,Japan
Volkswagen Model 111,60,1834,19,71,Europe
Plymouth Cricket,70,1955,20.5,71,USA
Toyota Corona Hardtop,95,2278,15.5,72,Japan
Dodge Colt Hardtop,80,2126,17,72,USA
Volkswagen Type 3,54,2254,23.5,72,Europe
Chevrolet Vega,90,2408,19.5,72,USA
Ford Pinto Runabout,86,2226,16.5,72,USA
Chevrolet Impala,165,4274,12,72,USA
Pontiac Catalina,175,4385,12,72,USA
Plymouth Fury Iii,150,4135,13.5,72,USA
Ford Galaxie 500,153,4129,13,72,USA
Amc Ambassador Sst,150,3672,11.5,72,USA
Mercury Marquis,208,4633,11,72,USA
Buick Lesabre Custom,155,4502,13.5,72,USA
